时间,降水量(mm)
2012-1-1,2.29
2012-2-1,2.29
2012-3-1,21.84
2012-4-1,6.1
2012-5-1,50.8
2012-6-1,98.81
2012-7-1,183.39
2012-8-1,62.23
2012-9-1,62.74
2012-10-1,16.51
2012-11-1,30.48
2012-12-1,5.59
2013-1-1,3.3
2013-2-1,2.79
2013-3-1,9.14
2013-4-1,19.56
2013-5-1,11.18
2013-6-1,65.53
2013-7-1,101.35
2013-8-1,68.07
2013-9-1,7.37
2013-10-1,5.59
2013-11-1,3.56
2013-12-1,4.57
2014-1-1,30.73
2014-2-1,2.54
2014-3-1,2.54
2014-4-1,5.84
2014-5-1,62.48
2014-6-1,66.04
2014-7-1,63.5
2014-8-1,27.94
2014-9-1,23.37
2014-10-1,34.29
2014-11-1,1.02
2014-12-1,5.33
2015-1-1,153.16
2015-2-1,34.8
2015-3-1,0.51
2015-4-1,36.58
2015-5-1,45.97
2015-6-1,143
2015-7-1,76.71
2015-8-1,46.48
2015-9-1,48.77
2015-10-1,16
2015-11-1,156.97
2015-12-1,270
2016-1-1,4.32
2016-2-1,9.65
2016-3-1,93.47
2016-4-1,6.1
2016-5-1,16.76
2016-6-1,77.72
2016-7-1,51.31
2016-8-1,54.36
2016-9-1,30.48
2016-10-1,57.15
2016-11-1,44.45
2016-12-1,481.33
2017-1-1,891.79
2017-2-1,202.44
2017-3-1,8.38
2017-4-1,6.6
2017-5-1,6.6
2017-6-1,39.88
2017-7-1,36.58
2017-8-1,56.64
2017-9-1,12.19
2017-10-1,10.92
2017-11-1,207.52
2017-12-1,205.49
2018-1-1,414.02
2018-2-1,298.7
2018-3-1,29.72
2018-4-1,19.56
2018-5-1,20.83
2018-6-1,19.56
2018-7-1,95.76
2018-8-1,50.8
2018-9-1,61.47
2018-10-1,24.64
2018-11-1,236.73
2018-12-1,0
2019-1-1,0.51
2019-2-1,184.4
2019-3-1,2.79
2019-4-1,5.84
2019-5-1,30.23
2019-6-1,64.77
2019-7-1,59.18
2019-8-1,113.54
2019-9-1,16.51
2019-10-1,28.45
2019-11-1,5.33
2019-12-1,20.57
2020-1-1,4.06
2020-2-1,8.64
2020-3-1,4.32
2020-4-1,10.67
2020-5-1,39.12
2020-6-1,35.81
2020-7-1,171.96
2020-8-1,83.31
2020-9-1,25.65
2020-10-1,5.84
2020-11-1,5.08
2020-12-1,2.29
2021-1-1,4.57
2021-2-1,240.03
2021-3-1,118.62
2021-4-1,10.67
2021-5-1,17.78
2021-6-1,52.07
2021-7-1,134.37
2021-8-1,37.34
2021-9-1,65.53
2021-10-1,4.83
2021-11-1,530.86
2021-12-1,193.8
2022-1-1,607.31
2022-2-1,796.04
2022-3-1,115.57
2022-4-1,65.422692
2022-5-1,77.986058
2022-6-1,89.384324
2022-7-1,89.384324
2022-8-1,81.240445
2022-9-1,64.555888
2022-10-1,230.976166
2022-11-1,125.782518
2022-12-1,257.695936
2023-1-1,257.695936
2023-2-1,88.047614
2023-3-1,57.601046
2023-4-1,94.897994
2023-5-1,77.738319
2023-6-1,100.236314
2023-7-1,83.986838
2023-8-1,84.499302
2023-9-1,135.426053
2023-10-1,31.088022
2023-11-1,60.086387
2023-12-1,29.141532