年份,月份,土壤蒸发量(W/m2),降水量(mm),10cm湿度(kg/m2),40cm湿度(kg/m2),100cm湿度(kg/m2),200cm湿度(kg/m2)
2012,1,0.57,2.29,13.73,30.87,42.79,168.56
2012,2,0.86,2.29,13,30.87,42.79,168.56
2012,3,1.78,21.84,12.6,30.87,42.79,168.56
2012,4,6.94,6.1,11.97,30.73,42.76,168.56
2012,5,16.89,50.8,14.18,29.99,42.58,168.56
2012,6,32.34,98.81,19.28,39.52,43.01,168.56
2012,7,29.38,183.39,19.64,55.47,54.9,168.53
2012,8,13.32,62.23,15.76,44.94,61.25,168.44
2012,9,12.88,62.74,17.12,45.67,55.29,168.38
2012,10,7.59,16.51,15.04,42.49,54.69,168.33
2012,11,0.88,30.48,14.79,42.71,55.02,168.32
2012,12,0.32,5.59,14.42,42.71,55.02,168.32
2013,1,0.37,3.3,14.09,42.71,55.02,168.32
2013,2,0.81,2.79,13.55,42.71,55.02,168.32
2013,3,3.14,9.14,12.85,42.7,55.02,168.32
2013,4,4.81,19.56,11.82,42.6,54.96,168.32
2013,5,11.62,11.18,12.73,40.66,54.08,168.32
2013,6,37.17,65.53,19.25,48.64,54.08,168.29
2013,7,36.64,101.35,20.34,54.64,62.91,168.22
2013,8,20.28,68.07,17.61,48.09,60.95,168.11
2013,9,9.18,7.37,14.49,38.27,55.29,168.04
2013,10,5.5,5.59,13.56,35.33,52.83,168
2013,11,1.96,3.56,11.92,35.23,52.75,167.97
2013,12,0.38,4.57,10.98,35.22,52.76,167.96
2014,1,0.63,30.73,10.55,35.22,52.76,167.96
2014,2,0.43,2.54,9.97,35.22,52.76,167.96
2014,3,13.5,2.54,13.96,36.19,52.75,167.96
2014,4,19.41,5.84,15.5,42.33,52.56,167.96
2014,5,23.61,62.48,16.73,41.97,52.24,167.96
2014,6,27.83,66.04,18.29,49.67,53.89,167.92
2014,7,21.6,63.5,16.7,44.67,55.34,167.88
2014,8,10.33,27.94,14.85,35.53,49.35,167.83
2014,9,5.13,23.37,12.84,29.71,45.27,167.79
2014,10,8.21,34.29,14.98,33.74,44.44,167.75
2014,11,3.76,1.02,13.72,35.79,44.52,167.72
2014,12,0.69,5.33,11.73,35.81,44.52,167.72
2015,1,0.43,153.16,11.17,35.81,44.52,167.72
2015,2,0.58,34.8,10.77,35.81,44.52,167.72
2015,3,1.44,0.51,9.93,35.79,44.52,167.72
2015,4,12.19,36.58,15.31,35.63,44.48,167.72
2015,5,14.99,45.97,14.55,34.71,44.27,167.72
2015,6,20.78,143,16.82,39.39,44.18,167.7
2015,7,17.54,76.71,17.13,42.8,44.62,167.65
2015,8,10.37,46.48,15.47,38.95,44.45,167.61
2015,9,12.06,48.77,17.31,39.19,43.57,167.58
2015,10,9.49,16,15.55,46.53,46.3,167.56
2015,11,1.96,156.97,14.55,44.55,47.79,167.53
2015,12,0.6,270,14.73,44.44,47.89,167.53
2016,1,0.59,4.32,14.11,44.44,47.89,167.53
2016,2,0.94,9.65,13.34,44.44,47.89,167.53
2016,3,2.58,93.47,12.26,44.43,47.89,167.53
2016,4,4.31,6.1,11.05,44.07,47.82,167.53
2016,5,22.17,16.76,15.43,42.39,47.5,167.53
2016,6,24.02,77.72,17,43.5,47.6,167.5
2016,7,20.58,51.31,17.33,45.2,48.39,167.46
2016,8,6.43,54.36,12.85,33.21,45.51,167.42
2016,9,9.48,30.48,16.22,33.22,43.44,167.39
2016,10,9.15,57.15,17.79,46.72,44.77,167.38
2016,11,5.8,44.45,16.33,46.76,45.86,167.37
2016,12,1.36,481.33,13.25,46.76,45.86,167.37
2017,1,0.62,891.79,12.48,46.76,45.86,167.37
2017,2,1.07,202.44,11.71,46.76,45.86,167.37
2017,3,2.01,8.38,11.1,46.75,45.86,167.37
2017,4,3.95,6.6,11.06,46.28,45.81,167.37
2017,5,7.98,6.6,11.81,43.85,45.61,167.37
2017,6,10.32,39.88,13.29,38.16,45.5,167.33
2017,7,13.61,36.58,15.33,36.15,44.29,167.29
2017,8,11.05,56.64,16.83,38.47,43.26,167.28
2017,9,6.61,12.19,14.24,35.2,42.71,167.28
2017,10,4.08,10.92,13.52,33.85,42.53,167.28
2017,11,1.92,207.52,12.13,34.05,42.64,167.28
2017,12,0.69,205.49,11.21,34.05,42.65,167.28
2018,1,0.42,414.02,10.69,34.05,42.65,167.28
2018,2,0.46,298.7,10.26,34.05,42.65,167.28
2018,3,1.15,29.72,9.75,34.02,42.65,167.28
2018,4,12.3,19.56,14.55,33.84,42.62,167.28
2018,5,11.82,20.83,13.94,33.22,42.49,167.28
2018,6,15.79,19.56,15.68,35.17,42.36,167.28
2018,7,25.76,95.76,19.66,49.55,45.46,167.27
2018,8,14.65,50.8,19.01,52.52,57.18,167.23
2018,9,12.7,61.47,18.27,49.75,60.56,167.15
2018,10,6.09,24.64,14.81,48.14,62.59,167.07
2018,11,1.91,236.73,12.47,46.1,63.66,167.03
2018,12,1.14,0,11.08,46.07,63.68,167.03
2019,1,0.74,0.51,10.27,46.07,63.68,167.03
2019,2,0.33,184.4,9.64,46.07,63.68,167.03
2019,3,1.19,2.79,10.02,46.05,63.66,167.03
2019,4,4.82,5.84,11.22,45.67,63.41,167.03
2019,5,21.17,30.23,15.88,44.71,62.31,167.02
2019,6,20.79,64.77,16.75,43.84,60.77,166.95
2019,7,18.9,59.18,17.25,45,57.97,166.86
2019,8,14.27,113.54,17.39,40.65,52.05,166.81
2019,9,4.68,16.51,12.68,37.3,48.82,166.76
2019,10,4.71,28.45,13.99,32.99,47.08,166.72
2019,11,2.94,5.33,13.89,33.78,47.06,166.7
2019,12,0.52,20.57,12.59,33.85,47.07,166.7
2020,1,0.33,4.06,12.21,33.85,47.07,166.7
2020,2,0.63,8.64,11.86,33.85,47.07,166.7
2020,3,2.6,4.32,11.95,33.84,47.07,166.7
2020,4,10.51,10.67,13.73,33.65,46.99,166.7
2020,5,19.89,39.12,16.51,34.02,46.68,166.7
2020,6,23.21,35.81,17.01,40,46.43,166.67
2020,7,30.21,171.96,21.31,56.6,54.24,166.62
2020,8,23.02,83.31,20.79,56.63,68.52,166.51
2020,9,16.95,25.65,20.04,56.67,76.04,166.32
2020,10,11.19,5.84,16.59,52.88,80.84,166.09
2020,11,2.43,5.08,15.04,50.66,82.25,165.95
2020,12,1.41,2.29,16.51,50.4,82.44,165.92
2021,1,1.05,4.57,15.17,50.4,82.44,165.92
2021,2,1.58,240.03,13.93,50.4,82.44,165.92
2021,3,7,118.62,14.37,50.38,82.43,165.92
2021,4,10.75,10.67,14.18,49.84,81.94,165.92
2021,5,15.29,17.78,14.77,47.77,79.86,165.91
2021,6,24.66,52.07,17.66,47.63,76.28,165.71
2021,7,28.82,134.37,22.1,61.7,85.27,165.46
2021,8,17.97,37.34,20.36,56.11,85.64,165.15
2021,9,17.3,65.53,21.01,59.26,87.32,164.85
2021,10,9.78,4.83,16.93,54.84,92.52,164.59
2021,11,1.39,530.86,13.91,52.17,93.43,164.49
2021,12,0.87,193.8,13.14,52.14,93.45,164.48
2022,1,0.41,607.31,12.45,52.14,93.45,164.48
2022,2,0.28,796.04,12.1,52.14,93.45,164.48
2022,3,5.58,115.57,14.96,52.13,93.44,164.48
,,,3.3,,,,
,,,13.21,,,,
,,,27.43,,,,
,,,29.21,,,,
